q,h(q),h(q) shuffled
-5.0,0.7267999797426998,0.6004362279859468
-4.5,0.7101584746201527,0.5922347053587557
-4.0,0.6926308925108513,0.5839274089129689
-3.5,0.6745263527435297,0.5755916762568132
-3.0,0.6561603976932726,0.5672907701495236
-2.5,0.6378307893956319,0.5590661260767522
-2.0,0.6198231317279277,0.5509322419012527
-1.5,0.6024154435183138,0.5428755424043106
-1.0,0.5858484770562558,0.5348575384180236
-0.5,0.5702573767867785,0.5268214117394779
0.0,0.5555916346140597,0.5187005918692961
0.5,0.5415637366231667,0.5104281195130665
1.0,0.5276638870280141,0.5019461904797888
1.5,0.5132706243970032,0.4932156917691663
2.0,0.49786618245548536,0.4842253896141891
2.5,0.48129579249813254,0.4749995824873631
3.0,0.4639092392608787,0.4656018517348378
3.5,0.446438805425996,0.4561320833893522
4.0,0.4296815720431386,0.4467154137719919
4.5,0.4142237457316926,0.43748508334594016
5.0,0.40035076102285655,0.4285642382541344
