Ticker,Count,Mean,Std,Min,25\%,50\%,75\%,Max
AAPL,7299.0,1.192,0.228,0.654,1.017,1.178,1.336,1.876
JPM,7299.0,1.134,0.208,0.656,0.986,1.116,1.261,1.835
JNJ,7299.0,1.092,0.198,0.637,0.944,1.084,1.222,1.846
XOM,7299.0,1.082,0.215,0.587,0.936,1.056,1.174,1.816
WMT,7299.0,1.113,0.171,0.614,1.003,1.105,1.215,1.752
BA,7299.0,1.128,0.181,0.588,0.993,1.145,1.261,2.079
DIS,7299.0,1.184,0.238,0.633,1.008,1.159,1.362,1.979
LIN,7299.0,1.025,0.197,0.534,0.88,0.999,1.168,1.74
NEE,7299.0,1.104,0.193,0.595,0.973,1.106,1.235,1.761
SPG,7299.0,1.113,0.204,0.63,0.951,1.096,1.275,1.784
